customer_npi,effective_npi,customer_id,clinic_id,old_clinic_id,ehr_vendor_id,vendor_name,vendor_code,legacy_emr_service,integration_type,status,ordering_enabled,result_enabled,sftp_enabled,msh06_receiving_facility,clinic_name,pipeline_location,updated_at,id
0000000055,0000000055,2739,2837,,1,MDHQ(Cerbo),MDHQ,MDHQ,FULL_INTEGRATION,LIVE,1,1,1,2738,Kanodia MD,cloud,2026-05-14 21:40:37,cmjklwyh1008l0xfes1u4mq4g
1000000000,1000000000,3001,45311,,1,MDHQ(Cerbo),MDHQ,MDHQ,RESULT_ONLY,LIVE,0,1,1,3001,Carpathia,cloud,2026-01-02 20:05:15,cmjxap77q002t0xfqg3msw790
1000000000,1000000000,3001,45311,,1,MDHQ(Cerbo),MDHQ,MDHQ,RESULT_ONLY,LIVE,0,1,1,3001,Carpathia,cloud,2025-12-25 00:02:49,cmj99ijia000b0xf1pc55euus
1000000019,1000000019,5142,45311,,1,MDHQ(Cerbo),MDHQ,MDHQ,FULL_INTEGRATION,LIVE,1,1,1,5142,Carpathia Collaborative,cloud,2026-05-14 21:40:37,cmj99ijtr000h0xf1sown4pch
1000000019,1000000019,5142,45311,,1,MDHQ(Cerbo),MDHQ,MDHQ,FULL_INTEGRATION,LIVE,1,1,1,5142,Carpathia Collaborative,cloud,2026-05-14 21:40:37,cmjxap7ud002z0xfqf4bnw29l
1000000074,1000000074,5534,136186,,8,OptimalDX,OptimalDX,OptimalDX,FULL_INTEGRATION,LIVE,1,1,1,5534,"Viva La Vida Wellness, LLC",onprem,2026-05-14 21:40:37,cmjklx29b00b10xfe4hsbgw1y
1000000123,1000000123,5482,79210,,,,,,ORDER_ONLY,LIVE,1,0,1,,UltraWellness Center,onprem,2026-06-11 23:53:05,cmqa5kvkn00110x96dlzgf4xt
1003071804,1003071804,6880,86386,,1,MDHQ(Cerbo),MDHQ,MDHQ,FULL_INTEGRATION,LIVE,1,1,1,6880,New Beginnings Functional Medicine Clinic,cloud,2026-05-14 21:40:37,cmj99ilcd001b0xf1pvg790jn
1003071804,1003071804,6880,86386,,1,MDHQ(Cerbo),MDHQ,MDHQ,FULL_INTEGRATION,LIVE,1,1,1,6880,New Beginnings Functional Medicine Clinic,cloud,2026-05-14 21:40:37,cmjxapb17003t0xfqpsgh1h74
1003151085,1003151085,42244,146039,,5,ElationEMR,ElationEMR,ElationEMR,FULL_INTEGRATION,LIVE,1,1,1,42244,Dr Anne Kuo,onprem,2026-05-14 21:40:37,c0000CMYCWWC50FT3I0A64BFZ
1003250853,1003250853,15936,124775,,8,OptimalDX,OptimalDX,OptimalDX,FULL_INTEGRATION,LIVE,1,1,1,15936,Apollo Health Clinic,onprem,2026-05-14 21:40:37,cmjklws5j004n0xfeleffjflz
1003336108,1003336108,5058,,,,,,,ORDER_ONLY,LIVE,1,0,1,,FEM Centre (Fort Worth),onprem,2026-06-11 23:53:05,cmqa5kvkn000y0x96walbtnkd
1003336108,1003336108,5059,47510,,,,,,ORDER_ONLY,LIVE,1,0,1,,FEM Centre (Colleyville),onprem,2026-06-11 23:53:05,cmqa5kvkn000z0x96zhvdjrem
1003680539,1003680539,45098,8093,,3,Practice Fusion,PF,PF,FULL_INTEGRATION,LIVE,1,1,1,8093,Kare Health and Wellness,onprem,2026-05-14 21:40:37,cmjxaqy9h00j30xfqmaqy2j8p
1003685132,1003685132,36907,141905,,9,OptiMantra,OPTIMANTRA,OPTIMANTRA,FULL_INTEGRATION,LIVE,1,1,1,36907,Revive Integrative Health,cloud,2026-05-14 21:40:37,cmjxar2d000k10xfqr54vjwj5
1003842154,1003842154,34978,8093,,3,Practice Fusion,PF,PF,FULL_INTEGRATION,LIVE,1,1,1,8093,Kare Health and Wellness,onprem,2026-05-14 21:40:37,c0000CMYCWWC50FT3I0A54BHX
1003975616,1003975616,2065,1652,,4,POWER2PRACTICE,POWER2PRACTICE,POWER2PRACTICE,FULL_INTEGRATION,LIVE,1,1,1,2065,Chi Medicine,onprem,2026-05-14 21:40:37,cmj99ozri002l0xj1x6303xba
1003975616,1003975616,2065,1652,,4,POWER2PRACTICE,POWER2PRACTICE,POWER2PRACTICE,FULL_INTEGRATION,LIVE,1,1,1,2065,Chi Medicine,onprem,2026-05-14 21:40:37,cmjxaqfzp00ef0xfqkbnimkw5
1013054980,1013054980,34998,128087,,,,,,ORDER_ONLY,LIVE,1,0,1,34998,"Boulder Longevity Institute, lLC",onprem,2026-06-11 23:53:05,cmqa5kvkt005b0x96vrgwsc8o
1013094069,1013094069,11733,17147,,,,,,ORDER_ONLY,LIVE,1,0,1,,Parsley Health (4),onprem,2026-06-11 23:53:05,cmqa5kvkp00250x96faqk1yd2
1013094069,1013094069,14933,17147,,,,,,ORDER_ONLY,LIVE,1,0,1,,Parsley Health Virtual/Complete Care Anywhere,onprem,2026-06-11 23:53:05,cmqa5kvkr00370x96mia1nymj
1013211838,1013211838,1231,74626,,,,,,ORDER_ONLY,LIVE,1,0,1,,(C) Shawn Michael Field MD PhD LLC,onprem,2026-06-11 23:53:05,cmqa5kvkm00020x96dvwaen33
1013239375,1013239375,3084,3392,,3,Practice Fusion,PF,PF,FULL_INTEGRATION,LIVE,1,1,1,1013239375,Abundant Life Family Chiropractic,onprem,2026-05-14 21:40:37,cmjxapkeu00690xfq3gftzpym
1013296490,1013296490,9161,13658,,1,MDHQ(Cerbo),MDHQ,MDHQ,FULL_INTEGRATION,LIVE,1,1,1,9161,Shift Functional Medicine,cloud,2026-05-14 21:40:37,cmjklx8z800f90xfefrxpuzgk
1013512326,1013512326,9843,96283,,8,OptimalDX,OptimalDX,OptimalDX,FULL_INTEGRATION,LIVE,1,1,1,96283,"Ali Anderson Wellness, LLC",onprem,2026-05-14 21:40:37,cmjklxa2t00fr0xfej5e6hwbi
