reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id,collision_key,rows_in_key,distinct_customers,distinct_vendors
same_customer_duplicate_rows,1000000019,5142,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,5142,Carpathia Collaborative,2026-05-14 21:40:37,cmj99ijtr000h0xf1sown4pch,1000000019|45311,2,1,1
same_customer_duplicate_rows,1000000019,5142,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,5142,Carpathia Collaborative,2026-05-14 21:40:37,cmjxap7ud002z0xfqf4bnw29l,1000000019|45311,2,1,1
same_customer_duplicate_rows,1003071804,6880,86386,MDHQ(Cerbo),FULL_INTEGRATION,1,6880,New Beginnings Functional Medicine Clinic,2026-05-14 21:40:37,cmj99ilcd001b0xf1pvg790jn,1003071804|86386,2,1,1
same_customer_duplicate_rows,1003071804,6880,86386,MDHQ(Cerbo),FULL_INTEGRATION,1,6880,New Beginnings Functional Medicine Clinic,2026-05-14 21:40:37,cmjxapb17003t0xfqpsgh1h74,1003071804|86386,2,1,1
same_customer_duplicate_rows,1003975616,2065,1652,POWER2PRACTICE,FULL_INTEGRATION,1,2065,Chi Medicine,2026-05-14 21:40:37,cmj99ozri002l0xj1x6303xba,1003975616|1652,2,1,1
same_customer_duplicate_rows,1003975616,2065,1652,POWER2PRACTICE,FULL_INTEGRATION,1,2065,Chi Medicine,2026-05-14 21:40:37,cmjxaqfzp00ef0xfqkbnimkw5,1003975616|1652,2,1,1
multi_customer,1013094069,11733,17147,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkp00250x96faqk1yd2,1013094069|17147,2,2,1
multi_customer,1013094069,14933,17147,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00370x96mia1nymj,1013094069|17147,2,2,1
same_customer_duplicate_rows,1013946707,5629,6767,Practice Fusion,FULL_INTEGRATION,1,6201,Apollo Medical Associates,2026-05-14 21:40:37,cmj98e6xv00110xmu3n2ywx2e,1013946707|6767,2,1,1
same_customer_duplicate_rows,1013946707,5629,6767,Practice Fusion,FULL_INTEGRATION,1,6201,Apollo Medical Associates,2026-05-14 21:40:37,cmjxapshy008d0xfqulcjuf7n,1013946707|6767,2,1,1
