action,key,npi,id,customer_id,clinic_id,integration_type,vendor,result_enabled,sftp_result_path,own_rtr,own_rtr_last,cust_rtr,keep_id,keep_customer_id,clinic_name,created_at,updated_at
DELETE,1487999850|15956,1487999850,cmjxaqte400hv0xfqookyyb38,7163,15956,FULL_INTEGRATION,MDHQ,1,/functionalmedofnorthidaho/results/,0,,0,c0000CMYCWWC500T3I1A85BHS,10335,FUNCTIONAL MEDICINE OF NORTH IDAHO,2025-08-22 00:31:03,2026-05-14 21:40:37
DISABLE,1669482139|132145,1669482139,cmjxaoxib000b0xfqcyj7mkci,30177,132145,FULL_INTEGRATION,MDHQ,1,/westcoastregenmed/results/,5,2026-08-13 19:02:20.890,6,c0000CMYCWWC502T1I0A84BHX,30111,Vitalis-Health,2025-01-27 19:55:16,2026-05-14 21:40:37
DELETE,1669482139|132145,1669482139,cmjxaoy5c000h0xfqvr6snb8m,31914,132145,FULL_INTEGRATION,MDHQ,1,/westcoastregenmed/results/,0,,0,c0000CMYCWWC502T1I0A84BHX,30111,Vitalis-Health,2025-01-27 19:55:16,2026-05-14 21:40:37
DELETE,1669482139|132145,1669482139,cmjxaoydm000j0xfqdfp216ag,34992,132145,FULL_INTEGRATION,MDHQ,1,/westcoastregenmed/results/,0,,0,c0000CMYCWWC502T1I0A84BHX,30111,Vitalis-Health,2025-01-27 19:55:16,2026-01-02 19:56:59
DELETE,1669482139|132145,1669482139,cmjxaoyla000l0xfqe85yz7jq,34995,132145,FULL_INTEGRATION,MDHQ,1,/westcoastregenmed/results/,0,,0,c0000CMYCWWC502T1I0A84BHX,30111,Vitalis-Health,2025-01-27 19:55:16,2026-01-02 19:56:59
DELETE,1790296127|128773,1790296127,cmj98e57o00010xmuqw4ufo8r,6118,128773,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxaponf007d0xfql55oukmb,6118,Greenhouse Natural Medicine,2025-12-16 23:46:07,2026-05-14 21:40:37
DISABLE,1083738330|49109,1083738330,cmjxapove007f0xfqfrvn0h04,6119,49109,FULL_INTEGRATION,PF,1,/Prod/Input/,7,2026-04-30 01:58:37.435,54,cmj98e5by00030xmu0hbj5off,6119,Greenhouse Natural Medicine,2025-06-17 21:06:18,2026-05-14 21:40:37
DELETE,1457381964|611,1457381964,cmj98e5fd00050xmucsxipe41,1439,611,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapp2y007h0xfqu4yj3vnk,1439,Boone Heart and Wellness,2025-12-16 23:46:07,2026-05-14 21:40:37
DELETE,1821312489|56054,1821312489,cmj98e5iq00070xmuos898knw,6902,56054,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxappah007j0xfqkhvahode,6902,Balanced Well-Being Healthcare,2025-12-16 23:46:07,2026-05-14 21:40:37
DELETE,1487883203|611,1487883203,cmj98e5m400090xmu8qpdsvmz,21714,611,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxappie007l0xfqzzi8f1zx,21714,Balanced Well-Being Healthcare,2025-12-16 23:46:07,2026-05-14 21:40:37
DISABLE,1447347323|136913,1447347323,cmjxapppx007n0xfq7qxeaqmy,7153,136913,FULL_INTEGRATION,PF,1,/Prod/Input/,10,2026-04-16 08:00:36.776,45,cmj98e5pg000b0xmus7v60ofv,7153,"Sun Valley Wellness, LLC",2025-06-17 21:06:19,2026-05-14 21:40:37
DISABLE,1851374961|9899,1851374961,cmjxappxm007p0xfquxlmlwz8,7270,9899,FULL_INTEGRATION,PF,1,/Prod/Input/,2,2026-04-30 06:54:54.834,7,cmj98e5su000d0xmu6furtuuo,7270,New Horizons Integrative Medicine,2025-06-17 21:06:19,2026-05-14 21:40:37
DELETE,1083921928|9899,1083921928,cmj98e5w1000f0xmu281ppaf4,7271,9899,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapq54007r0xfq82ou5y7i,7271,New Horizons Integrative Medicine,2025-12-16 23:46:08,2026-05-14 21:40:37
DISABLE,1093979114|9899,1093979114,cmjxapqcn007t0xfqvinrt6b6,7272,9899,FULL_INTEGRATION,PF,1,/Prod/Input/,2,2026-04-30 07:08:55.886,6,cmj98e5zh000h0xmuxh27wxyt,7272,New Horizons Integrative Medicine,2025-06-17 21:06:19,2026-05-14 21:40:37
DELETE,1487603155|72244,1487603155,cmj98e66l000l0xmul5mienw6,3450,72244,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmj98e631000j0xmu1yrch1rg,3448,All Functional Health (San Ramon),2025-12-16 23:46:08,2026-05-14 21:40:37
DISABLE,1487603155|72244,1487603155,cmjxapqke007v0xfqsa59shcd,3448,72244,FULL_INTEGRATION,PF,1,/Prod/Input/,9,2026-05-11 06:07:17.816,45,cmj98e631000j0xmu1yrch1rg,3448,All Functional Health (Turlock),2025-06-17 21:06:19,2026-05-14 21:40:37
DELETE,1487603155|72244,1487603155,cmjxapqry007x0xfqd8jgvo7e,3450,72244,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmj98e631000j0xmu1yrch1rg,3448,All Functional Health (San Ramon),2025-06-17 21:06:19,2026-05-14 21:40:37
DELETE,1982988218|10805,1982988218,cmj98e6a1000n0xmu9u0ede6i,7731,10805,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapr00007z0xfqz8h5pnok,7731,Nova Wellness Center,2025-12-16 23:46:08,2026-05-14 21:40:37
DELETE,1841329067|124202,1841329067,cmj98e6df000p0xmuzadq1dye,4276,124202,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapr7j00810xfq4dphd8q3,4276,Northern Sun Family Healthcare,2025-12-16 23:46:08,2026-05-14 21:40:37
DELETE,1083010516|124202,1083010516,cmj98e6gs000r0xmutjvzgc97,9022,124202,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxaprf000830xfqk6ko8lrh,9022,Northern Sun Family Healthcare,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1326423815|124202,1326423815,cmj98e6kd000t0xmugr1s6ydk,9023,124202,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxaprmh00850xfqup5x0eue,9023,Northern Sun Family Healthcare,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1154433316|9797,1154433316,cmj98e6no000v0xmuz7liza3w,7227,9797,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapru900870xfqupeekh2g,7227,Garabedian Medical Clinic,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1972758464|9797,1972758464,cmj98e6r0000x0xmucxqi076w,7229,9797,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxaps2300890xfquki7dx86,7229,Garabedian Medical Clinic,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1568449668|6767,1568449668,cmj98e6ue000z0xmu8li20a1u,6201,6767,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxaps9s008b0xfqdcoprj64,6201,Apollo Medical Associates,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1013946707|6767,1013946707,cmj98e6xv00110xmu3n2ywx2e,5629,6767,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapshy008d0xfqulcjuf7n,5629,Apollo Medical Associates,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1467478602|6767,1467478602,cmj98e71z00130xmu53ooxyjm,5630,6767,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapspf008f0xfqrpfg2h6l,5630,Apollo Medical Associates,2025-12-16 23:46:09,2026-05-14 21:40:37
DELETE,1598277220|6767,1598277220,cmj98e75v00150xmucsczcuub,11888,6767,FULL_INTEGRATION,PF,1,/Prod/Input/,0,,0,cmjxapsx3008h0xfq0hy3vj6u,11888,Apollo Medical Associates,2025-12-16 23:46:09,2026-05-14 21:40:37
