npi,rows,clinics,customers,kind,has_null_clinic,winner_customer,winner_clinic,winner_type,winner_fails,tie_decided_by_row_order,vendors,customer_rtr
1003336108,2,NULL 47510,5058 5059,multi-clinic+multi-customer,Y,5058,NULL,ORDER_ONLY,ORDER WOULD FAIL,Y,null,5058:0 5059:0
1023218161,2,5759 NULL,10833 10819,multi-clinic+multi-customer,Y,10833,5759,FULL_INTEGRATION,,,MDHQ(Cerbo),10833:0 10819:0
1023218203,2,1877 43283,1314 2195,multi-clinic+multi-customer,,1314,1877,FULL_INTEGRATION,,,Practice Fusion/null,1314:0 2195:0
1043533128,2,130956 8093,23199 6305,multi-clinic+multi-customer,,6305,8093,FULL_INTEGRATION,,,Practice Fusion,23199:2 6305:773
1073000691,4,144510 2930 8003 36290,43262,multi-clinic,,43262,2930,FULL_INTEGRATION,,Y,FOLLOWTHATPATIENT,43262:261
1073540944,2,74659 218,1280 1371,multi-clinic+multi-customer,,1280,74659,FULL_INTEGRATION,,Y,eClinicalWorks/POWER2PRACTICE,1280:0 1371:0
1073868139,2,683 44210,1490 2331,multi-clinic+multi-customer,,1490,683,FULL_INTEGRATION,,,ATHENA/null,1490:0 2331:0
1083900310,2,52172 NULL,8310,multi-clinic,Y,8310,52172,FULL_INTEGRATION,,,MDHQ(Cerbo),8310:0
1114189784,2,5759 17147,5106 14946,multi-clinic+multi-customer,,5106,5759,FULL_INTEGRATION,,,MDHQ(Cerbo)/null,5106:0 14946:0
1124183017,2,44135 NULL,2151 2152,multi-clinic+multi-customer,Y,2151,44135,FULL_INTEGRATION,,,MDHQ(Cerbo)/null,2151:0 2152:0
1144288861,2,82945 NULL,9330 13088,multi-clinic+multi-customer,Y,9330,82945,FULL_INTEGRATION,,,MDHQ(Cerbo)/null,9330:10 13088:0
1184178089,2,56132 17147,12191 23306,multi-clinic+multi-customer,,12191,56132,FULL_INTEGRATION,,,MDHQ(Cerbo)/null,12191:0 23306:0
1255637500,2,124986 58664,15657 21474,multi-clinic+multi-customer,,15657,124986,FULL_INTEGRATION,,,POWER2PRACTICE/null,15657:0 21474:0
1265082358,2,13988 40193,21059 21430,multi-clinic+multi-customer,,21059,13988,FULL_INTEGRATION,,Y,OptimalDX,21059:0 21430:0
1275504409,2,13055 5108,2047 4712,multi-clinic+multi-customer,,2047,13055,FULL_INTEGRATION,,Y,Practice Fusion,2047:0 4712:0
