npi,rows,clinics,active_clinics,customers,result_volume
1043533128,2,8093 130956,0,6305 23199,6305:773 23199:2
1710993514,2,136694 124938(ordered 1),1,10344 19574,10344:849 19574:0
1821312489,2,56054 11645,0,6902 12087,6902:0 12087:0
1982602942,2,73303 22589,0,12137 13141,12137:16 13141:0
1679663413,2,80446 136489,0,6695 12708,6695:0 12708:19
1073540944,2,74659 218,0,1280 1371,1280:0 1371:0
1851809230,2,122453 124365,0,6306 14761,6306:0 14761:141
1558796698,2,13202 39494,0,8935 15135,8935:0 15135:0
1255637500,2,124986 58664,0,15657 21474,15657:0 21474:0
1740623677,2,10040 21581,0,7337 15964,7337:0 15964:9
1659552099,2,126175 135064,0,8979 17438,8979:54 17438:0
1932611027,2,48359 130528,0,5568 18804,5568:110 18804:197
1376832352,2,13988 124372,0,19264 20977,19264:0 20977:0
1265082358,2,13988 40193,0,21059 21430,21059:0 21430:0
1336296599,2,17147(ordered 32) 123597,1,15180 21174,15180:0 21174:0
1679231872,2,64073 5144,0,21773 31402,21773:0 31402:0
1730307950,2,8600 137273,0,6719 9530,6719:0 9530:0
1740214022,2,118238 123431,0,25168 25337,25168:78 25337:0
1417388380,2,3143 45422,0,2938 8231,2938:0 8231:74
1023218203,2,1877 43283,0,1314 2195,1314:0 2195:0
1487839080,2,134350 134355,0,1871 1872,1871:0 1872:0
1275504409,2,13055 5108,0,2047 4712,2047:0 4712:0
1932593829,2,2453 96085,0,2538 15696,2538:0 15696:0
1972758464,2,46916 9797,0,6352 7229,6352:0 7229:0
1659604197,2,138608 138638,0,33169 33203,33169:0 33203:9
1114189784,2,5759 17147(ordered 32),1,5106 14946,5106:0 14946:0
1306264643,2,5759 17147(ordered 32),1,10831 14947,10831:0 14947:0
1184178089,2,56132 17147(ordered 32),1,12191 23306,12191:0 23306:0
1073868139,2,683 44210,0,1490 2331,1490:0 2331:0
1457540171,2,40598,0,22533,22533:105
1366420523,3,36290 2930(ordered 2) 8003(ordered 1),2,25899 26232 26308,25899:0 26232:0 26308:0
1750446159,4,2930(ordered 2) 8003(ordered 1) 36290 22106,2,2797 6263 19472 30528,2797:0 6263:0 19472:0 30528:0
1902554140,2,145373 151504,0,47714 48127,47714:53 48127:0
1073000691,4,144510 2930(ordered 2) 8003(ordered 1) 36290,2,43262,43262:261
1396700795,2,55823 17147(ordered 32),1,11735 14945,11735:0 14945:0
