path,key,candidates,customers,clinics,decided_by,tied_rows,winner_customer,winner_clinic,winner_type,vendors,result_volume,npis
NPI,1043533128,2,6305 23199,8093 130956,updated_at,1,6305,8093,FULL_INTEGRATION,Practice Fusion,6305:773 23199:2,
NPI,1710993514,2,10344 19574,136694 124938,ROW_ORDER,2,10344,136694,FULL_INTEGRATION,OptiMantra/MDHQ(Cerbo),10344:849 19574:0,
NPI,1821312489,2,6902 12087,56054 11645,ROW_ORDER,2,6902,56054,FULL_INTEGRATION,Practice Fusion/MDHQ(Cerbo),6902:0 12087:0,
NPI,1982602942,2,12137 13141,73303 22589,type,1,12137,73303,FULL_INTEGRATION,HealthMatters/null,12137:16 13141:0,
NPI,1679663413,2,6695 12708,80446 136489,type,1,12708,136489,FULL_INTEGRATION,null/POWER2PRACTICE,6695:0 12708:19,
NPI,1073540944,2,1280 1371,74659 218,ROW_ORDER,2,1280,74659,FULL_INTEGRATION,eClinicalWorks/POWER2PRACTICE,1280:0 1371:0,
NPI,1851809230,2,6306 14761,122453 124365,ROW_ORDER,2,6306,122453,FULL_INTEGRATION,Practice Fusion/OptiMantra,6306:0 14761:141,
NPI,1558796698,2,8935 15135,13202 39494,updated_at,1,8935,13202,FULL_INTEGRATION,POWER2PRACTICE,8935:0 15135:0,
NPI,1255637500,2,15657 21474,124986 58664,type,1,15657,124986,FULL_INTEGRATION,POWER2PRACTICE/null,15657:0 21474:0,
NPI,1740623677,2,7337 15964,10040 21581,ROW_ORDER,2,7337,10040,FULL_INTEGRATION,POWER2PRACTICE,7337:0 15964:9,
NPI,1659552099,2,8979 17438,126175 135064,ROW_ORDER,2,8979,126175,FULL_INTEGRATION,POWER2PRACTICE/OptiMantra,8979:54 17438:0,
NPI,1932611027,2,5568 18804,48359 130528,ROW_ORDER,2,5568,48359,FULL_INTEGRATION,CharmEHR,5568:110 18804:197,
NPI,1376832352,2,19264 20977,13988 124372,ROW_ORDER,2,19264,13988,FULL_INTEGRATION,OptimalDX,19264:0 20977:0,
NPI,1265082358,2,21059 21430,13988 40193,ROW_ORDER,2,21059,13988,FULL_INTEGRATION,OptimalDX,21059:0 21430:0,
NPI,1336296599,2,15180 21174,17147 123597,type,1,21174,123597,FULL_INTEGRATION,null/MDHQ(Cerbo),15180:0 21174:0,
NPI,1679231872,2,21773 31402,64073 5144,ROW_ORDER,2,21773,64073,FULL_INTEGRATION,CharmEHR,21773:0 31402:0,
NPI,1730307950,2,6719 9530,8600 137273,type,1,6719,8600,FULL_INTEGRATION,POWER2PRACTICE/null,6719:0 9530:0,
NPI,1740214022,2,25168 25337,118238 123431,type,1,25168,118238,FULL_INTEGRATION,ATHENA/null,25168:78 25337:0,
NPI,1417388380,2,2938 8231,3143 45422,type,1,8231,45422,FULL_INTEGRATION,null/OptiMantra,2938:0 8231:74,
NPI,1023218203,2,1314 2195,1877 43283,type,1,1314,1877,FULL_INTEGRATION,Practice Fusion/null,1314:0 2195:0,
NPI,1487839080,2,1871 1872,134350 134355,type,1,1871,134350,FULL_INTEGRATION,Practice Fusion/null,1871:0 1872:0,
NPI,1275504409,2,2047 4712,13055 5108,ROW_ORDER,2,2047,13055,FULL_INTEGRATION,Practice Fusion,2047:0 4712:0,
NPI,1932593829,2,2538 15696,2453 96085,type,1,2538,2453,FULL_INTEGRATION,Practice Fusion/null,2538:0 15696:0,
NPI,1972758464,2,6352 7229,46916 9797,type,1,7229,9797,FULL_INTEGRATION,null/Practice Fusion,6352:0 7229:0,
NPI,1659604197,2,33169 33203,138608 138638,ROW_ORDER,2,33169,138608,FULL_INTEGRATION,Practice Fusion,33169:0 33203:9,
NPI,1114189784,2,5106 14946,5759 17147,type,1,5106,5759,FULL_INTEGRATION,MDHQ(Cerbo)/null,5106:0 14946:0,
NPI,1306264643,2,10831 14947,5759 17147,type,1,10831,5759,FULL_INTEGRATION,MDHQ(Cerbo)/null,10831:0 14947:0,
NPI,1184178089,2,12191 23306,56132 17147,type,1,12191,56132,FULL_INTEGRATION,MDHQ(Cerbo)/null,12191:0 23306:0,
NPI,1073868139,2,1490 2331,683 44210,type,1,1490,683,FULL_INTEGRATION,ATHENA/null,1490:0 2331:0,
NPI,1457540171,2,22533,40598,ROW_ORDER,2,22533,40598,FULL_INTEGRATION,MDHQ(Cerbo),22533:105,
NPI,1366420523,3,25899 26232 26308,36290 2930 8003,updated_at,1,25899,36290,FULL_INTEGRATION,FOLLOWTHATPATIENT,25899:0 26232:0 26308:0,
NPI,1750446159,4,2797 6263 19472 30528,2930 8003 36290 22106,updated_at,1,30528,22106,FULL_INTEGRATION,FOLLOWTHATPATIENT,2797:0 6263:0 19472:0 30528:0,
NPI,1902554140,2,47714 48127,145373 151504,updated_at,1,48127,151504,FULL_INTEGRATION,FOLLOWTHATPATIENT,47714:53 48127:0,
NPI,1073000691,4,43262,144510 2930 8003 36290,ROW_ORDER,3,43262,2930,FULL_INTEGRATION,FOLLOWTHATPATIENT,43262:261,
NPI,1396700795,2,11735 14945,55823 17147,ROW_ORDER,2,11735,55823,ORDER_ONLY,null,11735:0 14945:0,
CUSTOMER,22533,2,22533,40598,ROW_ORDER,2,22533,40598,FULL_INTEGRATION,MDHQ(Cerbo),22533:105,1487999850 1457540171
CUSTOMER,43262,4,43262,144510 2930 8003 36290,ROW_ORDER,3,43262,2930,FULL_INTEGRATION,FOLLOWTHATPATIENT,43262:261,1073000691
